,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
77,77,0.7563926343604815,2023-04-08 22:50:25.629515,2023-04-08 22:55:21.070599,0 days 00:04:55.441084,0.10854540992087486,8192,0.021121161885890378,1e-05,0.01,45.0,COMPLETE
78,78,0.7564501457866916,2023-04-08 22:55:21.072337,2023-04-08 22:59:40.901932,0 days 00:04:19.829595,0.100058917003454,8192,0.023507326253136254,1e-05,0.01,45.0,COMPLETE
79,79,0.49855917440930875,2023-04-08 22:59:40.905848,2023-04-08 23:00:06.001009,0 days 00:00:25.095161,0.10075719747773594,2048,0.024167046398304616,0.001,0.01,50.0,COMPLETE
80,80,0.7581438242875893,2023-04-08 23:00:06.003213,2023-04-08 23:05:11.011666,0 days 00:05:05.008453,0.10877089200029405,8192,0.02291344517909614,1e-05,0.01,45.0,COMPLETE
81,81,0.7592692501681909,2023-04-08 23:05:11.014569,2023-04-08 23:10:23.752398,0 days 00:05:12.737829,0.10945043757297153,8192,0.02211265278734522,1e-05,0.01,45.0,COMPLETE
82,82,0.7557888355136146,2023-04-08 23:10:23.754704,2023-04-08 23:14:11.985161,0 days 00:03:48.230457,0.10937360082174258,8192,0.02319234826161537,1e-05,0.01,55.0,COMPLETE
83,83,0.7562946323270364,2023-04-08 23:14:11.989417,2023-04-08 23:19:04.420274,0 days 00:04:52.430857,0.1125593192035134,8192,0.020978903449372272,1e-05,0.01,45.0,COMPLETE
84,84,0.7591805537718648,2023-04-08 23:19:04.422514,2023-04-08 23:24:15.350593,0 days 00:05:10.928079,0.11345641868504072,8192,0.020744229390555653,1e-05,0.01,45.0,COMPLETE
85,85,0.7562599844962267,2023-04-08 23:24:15.355407,2023-04-08 23:29:16.363718,0 days 00:05:01.008311,0.11341785849539376,8192,0.020564540776227592,1e-05,0.01,45.0,COMPLETE
86,86,0.75620186175079,2023-04-08 23:29:16.370347,2023-04-08 23:34:41.339701,0 days 00:05:24.969354,0.11251764005249561,8192,0.018312463117602117,1e-05,0.01,45.0,COMPLETE
87,87,0.503819063719159,2023-04-08 23:34:41.342571,2023-04-08 23:35:14.556953,0 days 00:00:33.214382,0.10857557595029506,8192,0.020344664589878294,1.0,0.1,45.0,COMPLETE
88,88,0.4980377857516247,2023-04-08 23:35:14.565242,2023-04-08 23:35:43.157942,0 days 00:00:28.592700,0.10165090006118437,8192,0.02167630640719124,1e-05,0.01,50.0,COMPLETE
89,89,0.7556367208350695,2023-04-08 23:35:43.163572,2023-04-08 23:39:17.263271,0 days 00:03:34.099699,0.1181010469139137,8192,0.01676226503587638,1e-05,0.01,55.0,COMPLETE
90,90,0.4978484062320789,2023-04-08 23:39:17.265280,2023-04-08 23:39:43.785580,0 days 00:00:26.520300,0.1112801176266909,8192,0.026056557132877127,1e-05,0.001,50.0,COMPLETE
91,91,0.7562382140985213,2023-04-08 23:39:43.790598,2023-04-08 23:45:09.229419,0 days 00:05:25.438821,0.11410509024377577,8192,0.02044847881053997,1e-05,0.01,45.0,COMPLETE
92,92,0.7561774640901603,2023-04-08 23:45:09.234934,2023-04-08 23:50:28.088066,0 days 00:05:18.853132,0.11312401828519014,8192,0.01800114381155751,1e-05,0.01,45.0,COMPLETE
93,93,0.5050921840686344,2023-04-08 23:50:28.093536,2023-04-08 23:51:24.968622,0 days 00:00:56.875086,0.1025260502788092,8192,0.022760589137352193,0.01,0.01,45.0,COMPLETE
94,94,0.7579682846764924,2023-04-08 23:51:24.970612,2023-04-08 23:56:06.534402,0 days 00:04:41.563790,0.10809336344752776,8192,0.02577977462759147,1e-05,0.01,45.0,COMPLETE
95,95,0.4983590564331565,2023-04-08 23:56:06.536688,2023-04-08 23:56:40.972686,0 days 00:00:34.435998,0.10855332705848811,1024,0.0318815009301847,1e-05,0.01,50.0,COMPLETE
96,96,0.760746897169165,2023-04-08 23:56:40.979262,2023-04-09 00:03:57.694729,0 days 00:07:16.715467,0.10273626485512183,8192,0.02645887072018175,1e-05,0.005,65.0,COMPLETE
97,97,0.5001006523650195,2023-04-09 00:03:57.700147,2023-04-09 00:04:32.111754,0 days 00:00:34.411607,0.10007651013572513,8192,0.02473970273896169,1e-05,0.005,55.0,COMPLETE
98,98,0.5055055153246273,2023-04-09 00:04:32.113760,2023-04-09 00:05:04.739560,0 days 00:00:32.625800,0.10266453507877082,8192,0.02669570246306402,1e-05,0.005,70.0,COMPLETE
99,99,0.5030564436245356,2023-04-09 00:05:04.743456,2023-04-09 00:05:29.823424,0 days 00:00:25.079968,0.1099881619996662,8192,0.0264739375087813,0.1,0.005,90.0,COMPLETE
