,number,value,datetime_start,datetime_complete,duration,params_alpha,params_batch_size,params_gamma,params_lambda,params_learning_rate,params_rank,state
89,89,0.748337803798486,2023-03-31 17:29:59.047004,2023-03-31 17:34:53.435093,0 days 00:04:54.388089,0.17044045732524588,8192,0.07348691562728485,1e-05,0.005,75.0,COMPLETE
90,90,0.7000982614275992,2023-03-31 17:34:53.437234,2023-03-31 17:35:30.445368,0 days 00:00:37.008134,0.16557223334429763,8192,0.07498737630030965,1e-05,0.1,80.0,COMPLETE
91,91,0.7485986589670827,2023-03-31 17:35:30.447753,2023-03-31 17:39:51.356718,0 days 00:04:20.908965,0.17112656560039546,8192,0.07291184625102409,1e-05,0.005,75.0,COMPLETE
92,92,0.5016869257943863,2023-03-31 17:39:51.360727,2023-03-31 17:40:12.585805,0 days 00:00:21.225078,0.17100211838128818,8192,0.07212057087534451,1e-05,0.005,85.0,COMPLETE
93,93,0.7494647791234171,2023-03-31 17:40:12.587267,2023-03-31 17:45:04.446029,0 days 00:04:51.858762,0.17510169255762456,8192,0.07083454000852045,1e-05,0.005,75.0,COMPLETE
94,94,0.7503979457479895,2023-03-31 17:45:04.448539,2023-03-31 17:49:16.969802,0 days 00:04:12.521263,0.17321156681229585,8192,0.06897786016553566,1e-05,0.005,75.0,COMPLETE
95,95,0.5052470772379211,2023-03-31 17:49:16.971672,2023-03-31 17:49:39.603358,0 days 00:00:22.631686,0.17365039797219667,8192,0.06762948383583069,0.001,0.005,75.0,COMPLETE
96,96,0.5055536775396016,2023-03-31 17:49:39.605864,2023-03-31 17:50:02.546273,0 days 00:00:22.940409,0.16913946380948247,2048,0.07015772159591478,1e-05,0.005,75.0,COMPLETE
97,97,0.74796386738885,2023-03-31 17:50:02.549121,2023-03-31 17:52:41.579857,0 days 00:02:39.030736,0.16228762723421422,8192,0.06778570230091435,1e-05,0.01,85.0,COMPLETE
98,98,0.5018574697611521,2023-03-31 17:52:41.582514,2023-03-31 17:53:07.242407,0 days 00:00:25.659893,0.1623787783490845,1024,0.06754246890606391,1e-05,0.01,80.0,COMPLETE
99,99,0.5055325248690813,2023-03-31 17:53:07.244336,2023-03-31 17:53:34.705513,0 days 00:00:27.461177,0.1716188515969618,8192,0.0737361757037128,0.01,0.01,85.0,COMPLETE
